
symbol,company_name,aliases
RELIANCE,Reliance Industries Limited,"Reliance;RIL"
TCS,Tata Consultancy Services Limited,"TCS;Tata Consultancy Services"
INFY,Infosys Limited,"Infosys;INFY"
HDFCBANK,HDFC Bank Limited,"HDFC Bank"
ICICIBANK,ICICI Bank Limited,"ICICI Bank"
SBIN,State Bank of India,"SBI;State Bank"
ITC,ITC Limited,"ITC"
BHARTIARTL,Bharti Airtel Limited,"Bharti Airtel;Airtel"
KOTAKBANK,Kotak Mahindra Bank Limited,"Kotak Bank;Kotak"
LT,Larsen & Toubro Limited,"Larsen & Toubro;L&T;LT"
HINDUNILVR,Hindustan Unilever Limited,"HUL;Hindustan Unilever"
MARUTI,Maruti Suzuki India Limited,"Maruti;Maruti Suzuki"
ASIANPAINT,Asian Paints Limited,"Asian Paints"
TITAN,Titan Company Limited,"Titan"
AXISBANK,Axis Bank Limited,"Axis Bank"
ULTRACEMCO,UltraTech Cement Limited,"UltraTech;UltraTech Cement"
BAJFINANCE,Bajaj Finance Limited,"Bajaj Finance"
SUNPHARMA,Sun Pharmaceutical Industries Limited,"Sun Pharma"
WIPRO,Wipro Limited,"Wipro"
POWERGRID,Power Grid Corporation of India Limited,"Power Grid;POWERGRID"
